Sex,Yr,age,value,model_name
Females,2001,0,0.1,AltSel_F1
Males,2001,0,0.1,AltSel_F1
Females,2001,1,0.1,AltSel_F1
Males,2001,1,0.1,AltSel_F1
Females,2001,2,0.1,AltSel_F1
Males,2001,2,0.1,AltSel_F1
Females,2001,3,0.1,AltSel_F1
Males,2001,3,0.1,AltSel_F1
Females,2001,4,0.1,AltSel_F1
Males,2001,4,0.1,AltSel_F1
Females,2001,5,0.1,AltSel_F1
Males,2001,5,0.1,AltSel_F1
Females,2001,6,0.1,AltSel_F1
Males,2001,6,0.1,AltSel_F1
Females,2001,7,0.1,AltSel_F1
Males,2001,7,0.1,AltSel_F1
Females,2001,8,0.1,AltSel_F1
Males,2001,8,0.1,AltSel_F1
Females,2001,9,0.1,AltSel_F1
Males,2001,9,0.1,AltSel_F1
Females,2001,10,0.1,AltSel_F1
Males,2001,10,0.1,AltSel_F1
Females,2001,11,0.1,AltSel_F1
Males,2001,11,0.1,AltSel_F1
Females,2001,12,0.1,AltSel_F1
Males,2001,12,0.1,AltSel_F1
Females,2001,13,0.1,AltSel_F1
Males,2001,13,0.1,AltSel_F1
Females,2001,14,0.1,AltSel_F1
Males,2001,14,0.1,AltSel_F1
Females,2001,15,0.1,AltSel_F1
Males,2001,15,0.1,AltSel_F1
Females,2001,16,0.1,AltSel_F1
Males,2001,16,0.1,AltSel_F1
Females,2001,17,0.1,AltSel_F1
Males,2001,17,0.1,AltSel_F1
Females,2001,18,0.1,AltSel_F1
Males,2001,18,0.1,AltSel_F1
Females,2001,19,0.1,AltSel_F1
Males,2001,19,0.1,AltSel_F1
Females,2001,20,0.1,AltSel_F1
Males,2001,20,0.1,AltSel_F1
Females,2001,21,0.1,AltSel_F1
Males,2001,21,0.1,AltSel_F1
Females,2001,22,0.1,AltSel_F1
Males,2001,22,0.1,AltSel_F1
Females,2001,23,0.1,AltSel_F1
Males,2001,23,0.1,AltSel_F1
Females,2001,24,0.1,AltSel_F1
Males,2001,24,0.1,AltSel_F1
Females,2001,25,0.1,AltSel_F1
Males,2001,25,0.1,AltSel_F1
Females,2001,26,0.1,AltSel_F1
Males,2001,26,0.1,AltSel_F1
Females,2001,27,0.1,AltSel_F1
Males,2001,27,0.1,AltSel_F1
Females,2001,28,0.1,AltSel_F1
Males,2001,28,0.1,AltSel_F1
Females,2001,29,0.1,AltSel_F1
Males,2001,29,0.1,AltSel_F1
Females,2001,30,0.1,AltSel_F1
Males,2001,30,0.1,AltSel_F1
Females,2001,31,0.1,AltSel_F1
Males,2001,31,0.1,AltSel_F1
Females,2001,32,0.1,AltSel_F1
Males,2001,32,0.1,AltSel_F1
Females,2001,33,0.1,AltSel_F1
Males,2001,33,0.1,AltSel_F1
Females,2001,34,0.1,AltSel_F1
Males,2001,34,0.1,AltSel_F1
Females,2001,35,0.1,AltSel_F1
Males,2001,35,0.1,AltSel_F1
Females,2001,36,0.1,AltSel_F1
Males,2001,36,0.1,AltSel_F1
Females,2001,37,0.1,AltSel_F1
Males,2001,37,0.1,AltSel_F1
Females,2001,38,0.1,AltSel_F1
Males,2001,38,0.1,AltSel_F1
Females,2001,39,0.1,AltSel_F1
Males,2001,39,0.1,AltSel_F1
Females,2001,0,0.1,base-model
Males,2001,0,0.1,base-model
Females,2001,1,0.1,base-model
Males,2001,1,0.1,base-model
Females,2001,2,0.1,base-model
Males,2001,2,0.1,base-model
Females,2001,3,0.1,base-model
Males,2001,3,0.1,base-model
Females,2001,4,0.1,base-model
Males,2001,4,0.1,base-model
Females,2001,5,0.1,base-model
Males,2001,5,0.1,base-model
Females,2001,6,0.1,base-model
Males,2001,6,0.1,base-model
Females,2001,7,0.1,base-model
Males,2001,7,0.1,base-model
Females,2001,8,0.1,base-model
Males,2001,8,0.1,base-model
Females,2001,9,0.1,base-model
Males,2001,9,0.1,base-model
Females,2001,10,0.1,base-model
Males,2001,10,0.1,base-model
Females,2001,11,0.1,base-model
Males,2001,11,0.1,base-model
Females,2001,12,0.1,base-model
Males,2001,12,0.1,base-model
Females,2001,13,0.1,base-model
Males,2001,13,0.1,base-model
Females,2001,14,0.1,base-model
Males,2001,14,0.1,base-model
Females,2001,15,0.1,base-model
Males,2001,15,0.1,base-model
Females,2001,16,0.1,base-model
Males,2001,16,0.1,base-model
Females,2001,17,0.1,base-model
Males,2001,17,0.1,base-model
Females,2001,18,0.1,base-model
Males,2001,18,0.1,base-model
Females,2001,19,0.1,base-model
Males,2001,19,0.1,base-model
Females,2001,20,0.1,base-model
Males,2001,20,0.1,base-model
Females,2001,21,0.1,base-model
Males,2001,21,0.1,base-model
Females,2001,22,0.1,base-model
Males,2001,22,0.1,base-model
Females,2001,23,0.1,base-model
Males,2001,23,0.1,base-model
Females,2001,24,0.1,base-model
Males,2001,24,0.1,base-model
Females,2001,25,0.1,base-model
Males,2001,25,0.1,base-model
Females,2001,26,0.1,base-model
Males,2001,26,0.1,base-model
Females,2001,27,0.1,base-model
Males,2001,27,0.1,base-model
Females,2001,28,0.1,base-model
Males,2001,28,0.1,base-model
Females,2001,29,0.1,base-model
Males,2001,29,0.1,base-model
Females,2001,30,0.1,base-model
Males,2001,30,0.1,base-model
Females,2001,31,0.1,base-model
Males,2001,31,0.1,base-model
Females,2001,32,0.1,base-model
Males,2001,32,0.1,base-model
Females,2001,33,0.1,base-model
Males,2001,33,0.1,base-model
Females,2001,34,0.1,base-model
Males,2001,34,0.1,base-model
Females,2001,35,0.1,base-model
Males,2001,35,0.1,base-model
Females,2001,36,0.1,base-model
Males,2001,36,0.1,base-model
Females,2001,37,0.1,base-model
Males,2001,37,0.1,base-model
Females,2001,38,0.1,base-model
Males,2001,38,0.1,base-model
Females,2001,39,0.1,base-model
Males,2001,39,0.1,base-model
Females,2001,0,0.2,nat_M
Males,2001,0,0.3,nat_M
Females,2001,1,0.2,nat_M
Males,2001,1,0.3,nat_M
Females,2001,2,0.2,nat_M
Males,2001,2,0.3,nat_M
Females,2001,3,0.2,nat_M
Males,2001,3,0.3,nat_M
Females,2001,4,0.2,nat_M
Males,2001,4,0.3,nat_M
Females,2001,5,0.2,nat_M
Males,2001,5,0.3,nat_M
Females,2001,6,0.2,nat_M
Males,2001,6,0.3,nat_M
Females,2001,7,0.2,nat_M
Males,2001,7,0.3,nat_M
Females,2001,8,0.2,nat_M
Males,2001,8,0.3,nat_M
Females,2001,9,0.2,nat_M
Males,2001,9,0.3,nat_M
Females,2001,10,0.2,nat_M
Males,2001,10,0.3,nat_M
Females,2001,11,0.2,nat_M
Males,2001,11,0.3,nat_M
Females,2001,12,0.2,nat_M
Males,2001,12,0.3,nat_M
Females,2001,13,0.2,nat_M
Males,2001,13,0.3,nat_M
Females,2001,14,0.2,nat_M
Males,2001,14,0.3,nat_M
Females,2001,15,0.2,nat_M
Males,2001,15,0.3,nat_M
Females,2001,16,0.2,nat_M
Males,2001,16,0.3,nat_M
Females,2001,17,0.2,nat_M
Males,2001,17,0.3,nat_M
Females,2001,18,0.2,nat_M
Males,2001,18,0.3,nat_M
Females,2001,19,0.2,nat_M
Males,2001,19,0.3,nat_M
Females,2001,20,0.2,nat_M
Males,2001,20,0.3,nat_M
Females,2001,21,0.2,nat_M
Males,2001,21,0.3,nat_M
Females,2001,22,0.2,nat_M
Males,2001,22,0.3,nat_M
Females,2001,23,0.2,nat_M
Males,2001,23,0.3,nat_M
Females,2001,24,0.2,nat_M
Males,2001,24,0.3,nat_M
Females,2001,25,0.2,nat_M
Males,2001,25,0.3,nat_M
Females,2001,26,0.2,nat_M
Males,2001,26,0.3,nat_M
Females,2001,27,0.2,nat_M
Males,2001,27,0.3,nat_M
Females,2001,28,0.2,nat_M
Males,2001,28,0.3,nat_M
Females,2001,29,0.2,nat_M
Males,2001,29,0.3,nat_M
Females,2001,30,0.2,nat_M
Males,2001,30,0.3,nat_M
Females,2001,31,0.2,nat_M
Males,2001,31,0.3,nat_M
Females,2001,32,0.2,nat_M
Males,2001,32,0.3,nat_M
Females,2001,33,0.2,nat_M
Males,2001,33,0.3,nat_M
Females,2001,34,0.2,nat_M
Males,2001,34,0.3,nat_M
Females,2001,35,0.2,nat_M
Males,2001,35,0.3,nat_M
Females,2001,36,0.2,nat_M
Males,2001,36,0.3,nat_M
Females,2001,37,0.2,nat_M
Males,2001,37,0.3,nat_M
Females,2001,38,0.2,nat_M
Males,2001,38,0.3,nat_M
Females,2001,39,0.2,nat_M
Males,2001,39,0.3,nat_M
Females,2001,0,0.1,steepness-0.5
Males,2001,0,0.1,steepness-0.5
Females,2001,1,0.1,steepness-0.5
Males,2001,1,0.1,steepness-0.5
Females,2001,2,0.1,steepness-0.5
Males,2001,2,0.1,steepness-0.5
Females,2001,3,0.1,steepness-0.5
Males,2001,3,0.1,steepness-0.5
Females,2001,4,0.1,steepness-0.5
Males,2001,4,0.1,steepness-0.5
Females,2001,5,0.1,steepness-0.5
Males,2001,5,0.1,steepness-0.5
Females,2001,6,0.1,steepness-0.5
Males,2001,6,0.1,steepness-0.5
Females,2001,7,0.1,steepness-0.5
Males,2001,7,0.1,steepness-0.5
Females,2001,8,0.1,steepness-0.5
Males,2001,8,0.1,steepness-0.5
Females,2001,9,0.1,steepness-0.5
Males,2001,9,0.1,steepness-0.5
Females,2001,10,0.1,steepness-0.5
Males,2001,10,0.1,steepness-0.5
Females,2001,11,0.1,steepness-0.5
Males,2001,11,0.1,steepness-0.5
Females,2001,12,0.1,steepness-0.5
Males,2001,12,0.1,steepness-0.5
Females,2001,13,0.1,steepness-0.5
Males,2001,13,0.1,steepness-0.5
Females,2001,14,0.1,steepness-0.5
Males,2001,14,0.1,steepness-0.5
Females,2001,15,0.1,steepness-0.5
Males,2001,15,0.1,steepness-0.5
Females,2001,16,0.1,steepness-0.5
Males,2001,16,0.1,steepness-0.5
Females,2001,17,0.1,steepness-0.5
Males,2001,17,0.1,steepness-0.5
Females,2001,18,0.1,steepness-0.5
Males,2001,18,0.1,steepness-0.5
Females,2001,19,0.1,steepness-0.5
Males,2001,19,0.1,steepness-0.5
Females,2001,20,0.1,steepness-0.5
Males,2001,20,0.1,steepness-0.5
Females,2001,21,0.1,steepness-0.5
Males,2001,21,0.1,steepness-0.5
Females,2001,22,0.1,steepness-0.5
Males,2001,22,0.1,steepness-0.5
Females,2001,23,0.1,steepness-0.5
Males,2001,23,0.1,steepness-0.5
Females,2001,24,0.1,steepness-0.5
Males,2001,24,0.1,steepness-0.5
Females,2001,25,0.1,steepness-0.5
Males,2001,25,0.1,steepness-0.5
Females,2001,26,0.1,steepness-0.5
Males,2001,26,0.1,steepness-0.5
Females,2001,27,0.1,steepness-0.5
Males,2001,27,0.1,steepness-0.5
Females,2001,28,0.1,steepness-0.5
Males,2001,28,0.1,steepness-0.5
Females,2001,29,0.1,steepness-0.5
Males,2001,29,0.1,steepness-0.5
Females,2001,30,0.1,steepness-0.5
Males,2001,30,0.1,steepness-0.5
Females,2001,31,0.1,steepness-0.5
Males,2001,31,0.1,steepness-0.5
Females,2001,32,0.1,steepness-0.5
Males,2001,32,0.1,steepness-0.5
Females,2001,33,0.1,steepness-0.5
Males,2001,33,0.1,steepness-0.5
Females,2001,34,0.1,steepness-0.5
Males,2001,34,0.1,steepness-0.5
Females,2001,35,0.1,steepness-0.5
Males,2001,35,0.1,steepness-0.5
Females,2001,36,0.1,steepness-0.5
Males,2001,36,0.1,steepness-0.5
Females,2001,37,0.1,steepness-0.5
Males,2001,37,0.1,steepness-0.5
Females,2001,38,0.1,steepness-0.5
Males,2001,38,0.1,steepness-0.5
Females,2001,39,0.1,steepness-0.5
Males,2001,39,0.1,steepness-0.5
Females,2001,0,0.1,steepness-0.6
Males,2001,0,0.1,steepness-0.6
Females,2001,1,0.1,steepness-0.6
Males,2001,1,0.1,steepness-0.6
Females,2001,2,0.1,steepness-0.6
Males,2001,2,0.1,steepness-0.6
Females,2001,3,0.1,steepness-0.6
Males,2001,3,0.1,steepness-0.6
Females,2001,4,0.1,steepness-0.6
Males,2001,4,0.1,steepness-0.6
Females,2001,5,0.1,steepness-0.6
Males,2001,5,0.1,steepness-0.6
Females,2001,6,0.1,steepness-0.6
Males,2001,6,0.1,steepness-0.6
Females,2001,7,0.1,steepness-0.6
Males,2001,7,0.1,steepness-0.6
Females,2001,8,0.1,steepness-0.6
Males,2001,8,0.1,steepness-0.6
Females,2001,9,0.1,steepness-0.6
Males,2001,9,0.1,steepness-0.6
Females,2001,10,0.1,steepness-0.6
Males,2001,10,0.1,steepness-0.6
Females,2001,11,0.1,steepness-0.6
Males,2001,11,0.1,steepness-0.6
Females,2001,12,0.1,steepness-0.6
Males,2001,12,0.1,steepness-0.6
Females,2001,13,0.1,steepness-0.6
Males,2001,13,0.1,steepness-0.6
Females,2001,14,0.1,steepness-0.6
Males,2001,14,0.1,steepness-0.6
Females,2001,15,0.1,steepness-0.6
Males,2001,15,0.1,steepness-0.6
Females,2001,16,0.1,steepness-0.6
Males,2001,16,0.1,steepness-0.6
Females,2001,17,0.1,steepness-0.6
Males,2001,17,0.1,steepness-0.6
Females,2001,18,0.1,steepness-0.6
Males,2001,18,0.1,steepness-0.6
Females,2001,19,0.1,steepness-0.6
Males,2001,19,0.1,steepness-0.6
Females,2001,20,0.1,steepness-0.6
Males,2001,20,0.1,steepness-0.6
Females,2001,21,0.1,steepness-0.6
Males,2001,21,0.1,steepness-0.6
Females,2001,22,0.1,steepness-0.6
Males,2001,22,0.1,steepness-0.6
Females,2001,23,0.1,steepness-0.6
Males,2001,23,0.1,steepness-0.6
Females,2001,24,0.1,steepness-0.6
Males,2001,24,0.1,steepness-0.6
Females,2001,25,0.1,steepness-0.6
Males,2001,25,0.1,steepness-0.6
Females,2001,26,0.1,steepness-0.6
Males,2001,26,0.1,steepness-0.6
Females,2001,27,0.1,steepness-0.6
Males,2001,27,0.1,steepness-0.6
Females,2001,28,0.1,steepness-0.6
Males,2001,28,0.1,steepness-0.6
Females,2001,29,0.1,steepness-0.6
Males,2001,29,0.1,steepness-0.6
Females,2001,30,0.1,steepness-0.6
Males,2001,30,0.1,steepness-0.6
Females,2001,31,0.1,steepness-0.6
Males,2001,31,0.1,steepness-0.6
Females,2001,32,0.1,steepness-0.6
Males,2001,32,0.1,steepness-0.6
Females,2001,33,0.1,steepness-0.6
Males,2001,33,0.1,steepness-0.6
Females,2001,34,0.1,steepness-0.6
Males,2001,34,0.1,steepness-0.6
Females,2001,35,0.1,steepness-0.6
Males,2001,35,0.1,steepness-0.6
Females,2001,36,0.1,steepness-0.6
Males,2001,36,0.1,steepness-0.6
Females,2001,37,0.1,steepness-0.6
Males,2001,37,0.1,steepness-0.6
Females,2001,38,0.1,steepness-0.6
Males,2001,38,0.1,steepness-0.6
Females,2001,39,0.1,steepness-0.6
Males,2001,39,0.1,steepness-0.6
Females,2001,0,0.1,steepness-0.7
Males,2001,0,0.1,steepness-0.7
Females,2001,1,0.1,steepness-0.7
Males,2001,1,0.1,steepness-0.7
Females,2001,2,0.1,steepness-0.7
Males,2001,2,0.1,steepness-0.7
Females,2001,3,0.1,steepness-0.7
Males,2001,3,0.1,steepness-0.7
Females,2001,4,0.1,steepness-0.7
Males,2001,4,0.1,steepness-0.7
Females,2001,5,0.1,steepness-0.7
Males,2001,5,0.1,steepness-0.7
Females,2001,6,0.1,steepness-0.7
Males,2001,6,0.1,steepness-0.7
Females,2001,7,0.1,steepness-0.7
Males,2001,7,0.1,steepness-0.7
Females,2001,8,0.1,steepness-0.7
Males,2001,8,0.1,steepness-0.7
Females,2001,9,0.1,steepness-0.7
Males,2001,9,0.1,steepness-0.7
Females,2001,10,0.1,steepness-0.7
Males,2001,10,0.1,steepness-0.7
Females,2001,11,0.1,steepness-0.7
Males,2001,11,0.1,steepness-0.7
Females,2001,12,0.1,steepness-0.7
Males,2001,12,0.1,steepness-0.7
Females,2001,13,0.1,steepness-0.7
Males,2001,13,0.1,steepness-0.7
Females,2001,14,0.1,steepness-0.7
Males,2001,14,0.1,steepness-0.7
Females,2001,15,0.1,steepness-0.7
Males,2001,15,0.1,steepness-0.7
Females,2001,16,0.1,steepness-0.7
Males,2001,16,0.1,steepness-0.7
Females,2001,17,0.1,steepness-0.7
Males,2001,17,0.1,steepness-0.7
Females,2001,18,0.1,steepness-0.7
Males,2001,18,0.1,steepness-0.7
Females,2001,19,0.1,steepness-0.7
Males,2001,19,0.1,steepness-0.7
Females,2001,20,0.1,steepness-0.7
Males,2001,20,0.1,steepness-0.7
Females,2001,21,0.1,steepness-0.7
Males,2001,21,0.1,steepness-0.7
Females,2001,22,0.1,steepness-0.7
Males,2001,22,0.1,steepness-0.7
Females,2001,23,0.1,steepness-0.7
Males,2001,23,0.1,steepness-0.7
Females,2001,24,0.1,steepness-0.7
Males,2001,24,0.1,steepness-0.7
Females,2001,25,0.1,steepness-0.7
Males,2001,25,0.1,steepness-0.7
Females,2001,26,0.1,steepness-0.7
Males,2001,26,0.1,steepness-0.7
Females,2001,27,0.1,steepness-0.7
Males,2001,27,0.1,steepness-0.7
Females,2001,28,0.1,steepness-0.7
Males,2001,28,0.1,steepness-0.7
Females,2001,29,0.1,steepness-0.7
Males,2001,29,0.1,steepness-0.7
Females,2001,30,0.1,steepness-0.7
Males,2001,30,0.1,steepness-0.7
Females,2001,31,0.1,steepness-0.7
Males,2001,31,0.1,steepness-0.7
Females,2001,32,0.1,steepness-0.7
Males,2001,32,0.1,steepness-0.7
Females,2001,33,0.1,steepness-0.7
Males,2001,33,0.1,steepness-0.7
Females,2001,34,0.1,steepness-0.7
Males,2001,34,0.1,steepness-0.7
Females,2001,35,0.1,steepness-0.7
Males,2001,35,0.1,steepness-0.7
Females,2001,36,0.1,steepness-0.7
Males,2001,36,0.1,steepness-0.7
Females,2001,37,0.1,steepness-0.7
Males,2001,37,0.1,steepness-0.7
Females,2001,38,0.1,steepness-0.7
Males,2001,38,0.1,steepness-0.7
Females,2001,39,0.1,steepness-0.7
Males,2001,39,0.1,steepness-0.7
Females,2001,0,0.1,test-new-version
Males,2001,0,0.1,test-new-version
Females,2001,1,0.1,test-new-version
Males,2001,1,0.1,test-new-version
Females,2001,2,0.1,test-new-version
Males,2001,2,0.1,test-new-version
Females,2001,3,0.1,test-new-version
Males,2001,3,0.1,test-new-version
Females,2001,4,0.1,test-new-version
Males,2001,4,0.1,test-new-version
Females,2001,5,0.1,test-new-version
Males,2001,5,0.1,test-new-version
Females,2001,6,0.1,test-new-version
Males,2001,6,0.1,test-new-version
Females,2001,7,0.1,test-new-version
Males,2001,7,0.1,test-new-version
Females,2001,8,0.1,test-new-version
Males,2001,8,0.1,test-new-version
Females,2001,9,0.1,test-new-version
Males,2001,9,0.1,test-new-version
Females,2001,10,0.1,test-new-version
Males,2001,10,0.1,test-new-version
Females,2001,11,0.1,test-new-version
Males,2001,11,0.1,test-new-version
Females,2001,12,0.1,test-new-version
Males,2001,12,0.1,test-new-version
Females,2001,13,0.1,test-new-version
Males,2001,13,0.1,test-new-version
Females,2001,14,0.1,test-new-version
Males,2001,14,0.1,test-new-version
Females,2001,15,0.1,test-new-version
Males,2001,15,0.1,test-new-version
Females,2001,16,0.1,test-new-version
Males,2001,16,0.1,test-new-version
Females,2001,17,0.1,test-new-version
Males,2001,17,0.1,test-new-version
Females,2001,18,0.1,test-new-version
Males,2001,18,0.1,test-new-version
Females,2001,19,0.1,test-new-version
Males,2001,19,0.1,test-new-version
Females,2001,20,0.1,test-new-version
Males,2001,20,0.1,test-new-version
Females,2001,21,0.1,test-new-version
Males,2001,21,0.1,test-new-version
Females,2001,22,0.1,test-new-version
Males,2001,22,0.1,test-new-version
Females,2001,23,0.1,test-new-version
Males,2001,23,0.1,test-new-version
Females,2001,24,0.1,test-new-version
Males,2001,24,0.1,test-new-version
Females,2001,25,0.1,test-new-version
Males,2001,25,0.1,test-new-version
Females,2001,26,0.1,test-new-version
Males,2001,26,0.1,test-new-version
Females,2001,27,0.1,test-new-version
Males,2001,27,0.1,test-new-version
Females,2001,28,0.1,test-new-version
Males,2001,28,0.1,test-new-version
Females,2001,29,0.1,test-new-version
Males,2001,29,0.1,test-new-version
Females,2001,30,0.1,test-new-version
Males,2001,30,0.1,test-new-version
Females,2001,31,0.1,test-new-version
Males,2001,31,0.1,test-new-version
Females,2001,32,0.1,test-new-version
Males,2001,32,0.1,test-new-version
Females,2001,33,0.1,test-new-version
Males,2001,33,0.1,test-new-version
Females,2001,34,0.1,test-new-version
Males,2001,34,0.1,test-new-version
Females,2001,35,0.1,test-new-version
Males,2001,35,0.1,test-new-version
Females,2001,36,0.1,test-new-version
Males,2001,36,0.1,test-new-version
Females,2001,37,0.1,test-new-version
Males,2001,37,0.1,test-new-version
Females,2001,38,0.1,test-new-version
Males,2001,38,0.1,test-new-version
Females,2001,39,0.1,test-new-version
Males,2001,39,0.1,test-new-version
